[ 2025-05-06 13:06:25,448 ] 11 WDM - INFO - ====== WebDriver manager ======
[ 2025-05-06 13:06:27,905 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-06 13:06:28,090 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-06 13:06:28,166 ] 11 WDM - INFO - Driver [C:\Users\PrinciaFernandes\.wdm\drivers\chromedriver\win64\136.0.7103.49\chromedriver-win32/chromedriver.exe] found in cache
[ 2025-05-06 13:06:29,773 ] 58 __main__ - INFO - STARTING PHEKB PIPELINE...
[ 2025-05-06 13:06:29,774 ] 18 src.pipeline.phekb_pipe - INFO - SCRAPPING PHEKB phenotypes...
[ 2025-05-06 13:14:09,073 ] 21 src.pipeline.phekb_pipe - INFO - SCRAPPING PHEKB done successfully
[ 2025-05-06 13:14:09,097 ] 27 src.pipeline.phekb_pipe - INFO - Creating PHEKB detail file...
[ 2025-05-06 13:14:09,098 ] 29 src.pipeline.phekb_pipe - INFO - PHEKB detail file Created Successfully...
[ 2025-05-06 13:14:09,119 ] 35 src.pipeline.phekb_pipe - INFO - Creating PHEKB concept file...
[ 2025-05-06 13:14:09,120 ] 37 src.pipeline.phekb_pipe - INFO - PHEKB concept file Created Successfully...
[ 2025-05-06 13:14:09,130 ] 61 __main__ - INFO - PHEKB PIPELINE COMPLETED SUCCESSFULLY
[ 2025-05-06 13:14:09,131 ] 70 __main__ - INFO - STARTING OHDSI PIPELINE...
[ 2025-05-06 13:14:09,131 ] 16 src.pipeline.ohdsi_pipe - INFO - Creating OHDSI detail file...
[ 2025-05-06 13:14:14,608 ] 19 src.pipeline.ohdsi_pipe - INFO - OHDSI detail file Created Successfully...
[ 2025-05-06 13:14:15,100 ] 26 src.pipeline.ohdsi_pipe - INFO - Creating OHDSI concept file...
