[ 2025-05-08 09:21:18,517 ] 11 WDM - INFO - ====== WebDriver manager ======
[ 2025-05-08 09:21:21,756 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-08 09:21:22,238 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-08 09:21:22,336 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-08 09:21:22,618 ] 11 WDM - INFO - WebDriver version 136.0.7103.92 selected
[ 2025-05-08 09:21:22,621 ] 11 WDM - INFO - Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/win32/chromedriver-win32.zip
[ 2025-05-08 09:21:22,632 ] 11 WDM - INFO - About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.92/win32/chromedriver-win32.zip
[ 2025-05-08 09:21:22,863 ] 11 WDM - INFO - Driver downloading response is 200
[ 2025-05-08 09:21:24,617 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-08 09:21:24,938 ] 11 WDM - INFO - Driver has been saved in cache [C:\Users\PrinciaFernandes\.wdm\drivers\chromedriver\win64\136.0.7103.92]
[ 2025-05-08 09:21:28,914 ] 16 __main__ - INFO - STARTING PIPELINE...
[ 2025-05-08 09:21:28,915 ] 20 __main__ - INFO - STARTING SENTINEL PIPELINE...
[ 2025-05-08 09:21:28,918 ] 18 src.pipeline.sentinel_pipe - INFO - SCRAPPING SENTINEL phenotypes...
[ 2025-05-08 09:26:38,534 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-08 09:26:55,970 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-08 09:27:13,556 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-08 09:27:32,023 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-08 09:27:48,035 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-08 09:27:58,623 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-08 09:28:12,226 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-08 09:28:25,541 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-08 09:28:38,802 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
