[ 2025-05-06 09:58:00,339 ] 11 WDM - INFO - ====== WebDriver manager ======
[ 2025-05-06 09:58:02,964 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-06 09:58:03,733 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-06 09:58:03,835 ] 11 WDM - INFO - There is no [win64] chromedriver "136.0.7103.49" for browser google-chrome "136.0.7103" in cache
[ 2025-05-06 09:58:03,839 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-06 09:58:04,070 ] 11 WDM - INFO - WebDriver version 136.0.7103.49 selected
[ 2025-05-06 09:58:04,085 ] 11 WDM - INFO - Modern chrome version https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.49/win32/chromedriver-win32.zip
[ 2025-05-06 09:58:04,086 ] 11 WDM - INFO - About to download new driver from https://storage.googleapis.com/chrome-for-testing-public/136.0.7103.49/win32/chromedriver-win32.zip
[ 2025-05-06 09:58:04,332 ] 11 WDM - INFO - Driver downloading response is 200
[ 2025-05-06 09:58:06,045 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-06 09:58:06,334 ] 11 WDM - INFO - Driver has been saved in cache [C:\Users\PrinciaFernandes\.wdm\drivers\chromedriver\win64\136.0.7103.49]
[ 2025-05-06 09:58:09,475 ] 16 __main__ - INFO - STARTING PIPELINE...
[ 2025-05-06 09:58:09,476 ] 20 __main__ - INFO - STARTING SENTINEL PIPELINE...
[ 2025-05-06 09:58:09,477 ] 18 src.pipeline.sentinel_pipe - INFO - SCRAPPING SENTINEL phenotypes...
[ 2025-05-06 10:02:54,639 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:03:11,844 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:03:55,967 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:04:13,787 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:04:29,660 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:04:41,558 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:04:55,155 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:05:08,364 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:05:22,089 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:05:36,216 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:05:49,835 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:06:05,186 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:06:24,347 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:06:42,591 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:07:00,877 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:07:19,127 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:07:36,640 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:07:51,999 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-06 10:08:06,028 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
