[ 2025-04-25 11:55:30,985 ] 11 WDM - INFO - ====== WebDriver manager ======
[ 2025-04-25 11:55:32,545 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-04-25 11:55:32,735 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-04-25 11:55:32,807 ] 11 WDM - INFO - Driver [C:\Users\PrinciaFernandes\.wdm\drivers\chromedriver\win64\135.0.7049.114\chromedriver-win32/chromedriver.exe] found in cache
[ 2025-04-25 11:55:34,252 ] 18 __main__ - INFO - STARTING SENTINEL PIPELINE...
[ 2025-04-25 11:55:34,253 ] 19 src.pipeline.sentinel_pipe - INFO - SCRAPPING SENTINEL phenotypes...
[ 2025-04-25 11:59:18,902 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-04-25 11:59:35,300 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-04-25 11:59:35,310 ] 22 src.pipeline.sentinel_pipe - INFO - SCRAPPING SENTINEL done successfully
[ 2025-04-25 11:59:35,316 ] 28 src.pipeline.sentinel_pipe - INFO - Creating SENTINEL detail file...
[ 2025-04-25 11:59:35,318 ] 30 src.pipeline.sentinel_pipe - INFO - SENTINEL detail file Created Successfully...
[ 2025-04-25 11:59:35,320 ] 36 src.pipeline.sentinel_pipe - INFO - Creating SENTINEL concept file...
[ 2025-04-25 11:59:35,321 ] 38 src.pipeline.sentinel_pipe - INFO - SENTINEL concept file Created Successfully...
[ 2025-04-25 11:59:35,332 ] 21 __main__ - INFO - SENTINEL PIPELINE COMPLETED SUCCESSFULLY
[ 2025-04-25 11:59:35,333 ] 29 __main__ - INFO - STARTING HDRUK PIPELINE...
[ 2025-04-25 11:59:35,333 ] 20 src.pipeline.hdruk_pipe - INFO - SCRAPPING HDRUK phenotypes...
[ 2025-04-25 12:00:25,601 ] 24 src.pipeline.hdruk_pipe - INFO - SCRAPPING HDRUK done successfully
[ 2025-04-25 12:00:26,085 ] 30 src.pipeline.hdruk_pipe - INFO - Creating HDRUK detail file...
[ 2025-04-25 12:00:26,086 ] 32 src.pipeline.hdruk_pipe - INFO - HDRUK detail file Created Successfully...
[ 2025-04-25 12:00:26,092 ] 38 src.pipeline.hdruk_pipe - INFO - Creating HDRUK concept file...
[ 2025-04-25 12:00:26,290 ] 40 src.pipeline.hdruk_pipe - INFO - HDRUK concept file Created Successfully...
[ 2025-04-25 12:00:26,661 ] 32 __main__ - INFO - HDRUK PIPELINE COMPLETED SUCCESSFULLY
[ 2025-04-25 12:00:26,661 ] 41 __main__ - INFO - STARTING CPRD PIPELINE...
[ 2025-04-25 12:00:26,661 ] 19 src.pipeline.cprd_pipe - INFO - SCRAPPING CPRD phenotypes...
[ 2025-04-25 12:00:28,639 ] 22 src.pipeline.cprd_pipe - INFO - SCRAPPING CPRD done successfully
[ 2025-04-25 12:00:28,656 ] 28 src.pipeline.cprd_pipe - INFO - Creating CPRD detail file...
[ 2025-04-25 12:00:28,657 ] 30 src.pipeline.cprd_pipe - INFO - CPRD detail file Created Successfully...
[ 2025-04-25 12:00:28,659 ] 36 src.pipeline.cprd_pipe - INFO - Creating CPRD concept file...
[ 2025-04-25 12:00:28,661 ] 38 src.pipeline.cprd_pipe - INFO - CPRD concept file Created Successfully...
[ 2025-04-25 12:00:28,678 ] 44 __main__ - INFO - CPRD PIPELINE COMPLETED SUCCESSFULLY
[ 2025-04-25 12:00:28,678 ] 53 __main__ - INFO - STARTING PHEKB PIPELINE...
[ 2025-04-25 12:01:17,096 ] 56 __main__ - INFO - PHEKB PIPELINE COMPLETED SUCCESSFULLY
[ 2025-04-25 12:01:17,096 ] 64 __main__ - INFO - STARTING OHDSI PIPELINE...
[ 2025-04-25 12:01:17,097 ] 15 src.pipeline.ohdsi_pipe - INFO - Creating OHDSI detail file...
[ 2025-04-25 12:01:17,137 ] 18 src.pipeline.ohdsi_pipe - INFO - OHDSI detail file Created Successfully...
[ 2025-04-25 12:01:17,303 ] 25 src.pipeline.ohdsi_pipe - INFO - Creating OHDSI concept file...
[ 2025-04-25 12:01:17,386 ] 27 src.pipeline.ohdsi_pipe - INFO - OHDSI concept file Created Successfully...
[ 2025-04-25 12:01:17,406 ] 67 __main__ - INFO - OHDSI PIPELINE COMPLETED SUCCESSFULLY
[ 2025-04-25 12:01:17,563 ] 79 __main__ - INFO - CREATING MASTERLIST
[ 2025-04-25 12:01:17,578 ] 82 __main__ - INFO - MASTERLIST CREATED SUCCESSFULLY
