[ 2025-05-01 13:10:55,536 ] 11 WDM - INFO - ====== WebDriver manager ======
[ 2025-05-01 13:10:57,152 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-01 13:10:57,327 ] 11 WDM - INFO - Get LATEST chromedriver version for google-chrome
[ 2025-05-01 13:10:57,391 ] 11 WDM - INFO - Driver [C:\Users\PrinciaFernandes\.wdm\drivers\chromedriver\win64\135.0.7049.114\chromedriver-win32/chromedriver.exe] found in cache
[ 2025-05-01 13:10:58,820 ] 16 __main__ - INFO - STARTING PIPELINE...
[ 2025-05-01 13:10:58,820 ] 20 __main__ - INFO - STARTING SENTINEL PIPELINE...
[ 2025-05-01 13:10:58,821 ] 18 src.pipeline.sentinel_pipe - INFO - SCRAPPING SENTINEL phenotypes...
[ 2025-05-01 13:14:41,108 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-01 13:14:57,009 ] 1026 httpx - INFO - HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/chat/completions "HTTP/1.1 200 OK"
[ 2025-05-01 13:14:57,009 ] 21 src.pipeline.sentinel_pipe - INFO - SCRAPPING SENTINEL done successfully
[ 2025-05-01 13:14:57,028 ] 27 src.pipeline.sentinel_pipe - INFO - Creating SENTINEL detail file...
[ 2025-05-01 13:14:57,028 ] 29 src.pipeline.sentinel_pipe - INFO - SENTINEL detail file Created Successfully...
[ 2025-05-01 13:14:57,028 ] 35 src.pipeline.sentinel_pipe - INFO - Creating SENTINEL concept file...
[ 2025-05-01 13:14:57,035 ] 37 src.pipeline.sentinel_pipe - INFO - SENTINEL concept file Created Successfully...
[ 2025-05-01 13:14:57,045 ] 23 __main__ - INFO - SENTINEL PIPELINE COMPLETED SUCCESSFULLY
[ 2025-05-01 13:14:57,045 ] 32 __main__ - INFO - STARTING HDRUK PIPELINE...
[ 2025-05-01 13:14:57,050 ] 19 src.pipeline.hdruk_pipe - INFO - SCRAPPING HDRUK phenotypes...
